问题,年份,公司,鑫鑫关键词,包关键词
请问，在苏州迈为科技股份有限公司2019年的年报中，现金流的情况是否发生了重大变化？若发生，导致重大变化的原因是什么？,2019,300751,请问|现金流|情况|是否|发生|重大|变化|发生|导致|重大|变化|原因,现金流情况
根据2020年的年报数据，力合微的公允价值变动收益是多少元?,2020,688589,数据|公允|价值|变动收益,公允价值变动收益
奥精医疗科技股份有限公司2021年净利润增长率是多少?保留2位小数。,2021,688613,净利润增长率,净利润增长率
在2021年，五矿资本的衍生金融资产和其他非流动金融资产各是多少元?,2021,600390,衍生金融资产|流动金融资产,衍生金融资产和其他非流动金融资产|其他非流动金融资产|衍生金融资产
招商局积余产业运营服务股份有限公司2019年毛利率是多少?保留2位小数。,2019,001914,毛利率,毛利率
2021年通宇通讯的无形资产增长率是多少?保留2位小数。,2021,002792,无形|资产增长率,无形资产增长率
重庆再升科技股份有限公司2020年现金比率是多少？请保留两位小数。,2020,603601,现金比率,现金比率
根据2019年同花顺的年度的经营情况讨论与分析情况，请简要分析公司的创新情况。,2019,300033,年度|经营情况|讨论|情况|创新情况,创新情况
南方精工2019年的研发费用和财务费用具体是多少?,2019,002553,研发|费用|财务费用|具体,财务费用|研发费用和财务费用|研发费用
请提供东华工程科技股份有限公司2019年的法定代表人。,2019,002140,法定|代表人,法定代表人
北京旋极信息技术股份有限公司在2020年的销售费用增长率是多少？请保留两位小数。,2020,300324,销售费用增长率,销售费用增长率
江西铜业在2019年的注册地址是什么？,2019,600362,注册地址,注册地址
请问，重庆农村商业银行股份有限公司2019年年报数据中，利息收入是多少元?,2019,601077,请问|数据|利息收入,利息收入
中铝国际2019年三费比重是多少?保留2位小数。,2019,601068,三费比重,三费比重
深圳市机场股份有限公司在2019年的财务费用率是多少？请保留两位小数。,2019,000089,财务费用率,财务费用率
华信新材在2019年的研发人员占职工人数比例是多少?请保留2位小数。,2019,300717,研发|人员|占职工人数比例,研发人员|职工人数比例|研发人员占职工人数比例
2019年海信家电的注册地址是什么？,2019,000921,注册地址,注册地址
2020年德赛西威营业收入是多少元?,2020,002920,营业收入,营业收入
根据2020年的年报数据，西藏奇正藏药股份有限公司的营业税金及附加是多少元?,2020,002287,数据|营业税金|附加,营业税金及附加
请提供爱旭股份2020年的博士及以上人数。,2020,600732,博士|人数,博士及以上人数
天津普林电路股份有限公司2019年营业成本率是多少?保留2位小数。,2019,002134,营业成本率,营业成本率
2021年亚盛集团的资产总计是多少元？,2021,600108,资产|总计,资产总计
什么是存货周转率？,,,,
宏川智慧在2019年的法定代表人是谁?,2019,002930,法定|代表人,法定代表人
请简要分析浙江亿田智能厨电股份有限公司2021年审计意见的情况。,2021,300911,审计意见|情况,审计意见
2021年金财互联收回投资收到的现金是多少元?,2021,002530,收回投资|收到|现金,收回投资
新开普电子股份有限公司2019年企业研发经费与营业收入比值是多少?保留2位小数。,2019,300248,企业|研发|经费|营业收入比值,企业研发经费|企业研发经费与营业收入比值|营业收入
精准信息2021年的其他非流动金融资产是多少元？,2021,300099,流动金融资产,其他非流动金融资产
在2020年，北京慧辰资道资讯股份有限公司的现金比率为多少？结果请保留2位小数。,2020,688500,现金比率,现金比率
中国太保2019年的资产负债比率是多少?保留2位小数。,2019,601601,资产|负债比率,资产负债比率
深圳市京基智农时代股份有限公司2021年每股收益和每股净资产分别是多少元?,2021,000048,每股|收益|每股|净资产,每股收益|每股净资产|每股收益和每股净资产
请问安泰集团在2021年的营业成本是多少元？,2021,600408,请问|营业成本,营业成本
杭州联德精密机械股份有限公司2019年财务费用率是多少?保留2位小数。,2019,605060,财务费用率,财务费用率
请简要分析深圳市兆驰股份有限公司2019年研发投入情况,2019,002429,研发|投入情况,研发投入情况
京泉华在2019年的注册地址是什么？,2019,002885,注册地址,注册地址
2019年金山办公管理费用率是多少?保留2位小数。,2019,688111,管理费用率,管理费用率
2021年深圳市燕麦科技股份有限公司营业利润增长率为多少?保留2位小数。,2021,688312,营业利润增长率,营业利润增长率
请问，东鹏饮料2021年的销售费用和管理费用分别是多少元?,2021,605499,请问|销售费用|管理费用,管理费用|销售费用|销售费用和管理费用
山东高速路桥集团股份有限公司2021年固定资产是多少元?,2021,000498,固定资产,固定资产
杭州初灵信息技术股份有限公司2021年的固定资产增长率是多少？保留两位小数。,2021,300250,固定资产|增长率,固定资产增长率
联瑞新材在2020年的综合收益总额是多少元?,2020,688300,综合收益总额,综合收益总额
2019年四川英杰电气股份有限公司硕士人数是什么?,2019,300820,硕士人数,硕士人数
山西通宝能源股份有限公司2019年财务费用率是多少?保留2位小数。,2019,600780,财务费用率,财务费用率
2019年北京超图软件股份有限公司公司网址是什么?,2019,300036,网址,公司网址
博威合金在2020年的营业收入是多少元？,2020,601137,营业收入,营业收入
新余钢铁股份有限公司2020年速动比率是多少?保留2位小数。,2020,600782,速动比率,速动比率
深圳市金证科技股份有限公司在2020年的利润总额达到了多少元?,2020,600446,利润总额|达到,利润总额
2020年新劲刚年报中利润总额和净利润分别是多少元?,2020,300629,利润总额|净利润,净利润|利润总额|利润总额和净利润
爱施德2020年营业外支出是多少元?,2020,002416,营业外|支出,营业外支出
一品红在2020年的速动比率是多少？请保留两位小数。,2020,300723,速动比率,速动比率
奥锐特2020年的销售费用是多少元?,2020,605116,销售费用,销售费用
2019年红宝丽集团股份有限公司研发费用和财务费用分别是多少元?,2019,002165,研发|费用|财务费用,财务费用|研发费用和财务费用|研发费用
2020年联化科技股份有限公司现金比率为多少?保留2位小数。,2020,002250,现金比率,现金比率
浙江奥康鞋业股份有限公司2021年负债合计是多少元?,2021,603001,负债|合计,负债合计
2019年洛阳栾川钼业集团股份有限公司三费比重为多少?保留2位小数。,2019,603993,三费比重,三费比重
珈伟新能在2021年的应收款项融资总额是多少元?,2021,300317,应|收款项|融资总额,应收款项融资总额
江苏美思德化学股份有限公司2019年研发费用和财务费用分别是多少元?,2019,603041,研发|费用|财务费用,财务费用|研发费用和财务费用|研发费用
2019年世运电路的财务费用是多少元?,2019,603920,财务费用,财务费用
2020年北京赛微电子股份有限公司博士及以上人数是什么?,2020,300456,博士|人数,博士及以上人数
在2020年，渤海化学的公允价值变动收益是多少元？,2020,600800,公允|价值|变动收益,公允价值变动收益
芯源微在2020年的净利润率是多少？（保留2位小数）,2020,688037,净利润率,净利润率
2019年上海市北高新股份有限公司的技术人员数是什么?,2019,600604,技术人员数,技术人员数
珀莱雅化妆品股份有限公司2019年企业研发经费占费用比例是多少?保留2位小数。,2019,603605,企业|研发|经费|占费用比例,企业研发经费|企业研发经费占费用比例
昊志机电在2021年归属于母公司所有者的净利润是多少元？,2021,300503,归属|母公司所有者|净利润,归属于母公司所有者的净利润
请简要分析新兴铸管股份有限公司2019年公司地位的情况。,2019,000778,地位|情况,公司地位
浙江圣达生物药业股份有限公司2020年营业收入是多少元?,2020,603079,营业收入,营业收入
2021年财通证券股份有限公司利息支出是多少元?,2021,601108,利息支出,利息支出
大有能源在2021年的每股经营现金流量是多少元？,2021,600403,每股|经营现金流量,每股经营现金流量
海航创新股份有限公司在2021年的总资产增长率为多少?精确到小数点后两位。,2021,600555,总|资产增长率|精确,总资产增长率
2021年之江生物营业利润增长率是多少？保留2位小数。,2021,688317,营业利润增长率,营业利润增长率
恒光股份2020年的营业成本和营业利润分别是多少元？,2020,301118,营业成本|营业利润,营业成本和营业利润|营业成本|营业利润
深圳市麦捷微电子科技股份有限公司2020年的营业收入是多少元？,2020,300319,营业收入,营业收入
迦南科技2021年流动负债增长率是多少?保留2位小数。,2021,300412,流动|负债增长率,流动负债增长率
力芯微在2021年的每股经营现金流量是多少元？,2021,688601,每股|经营现金流量,每股经营现金流量
重要会计政策和会计估计的变更是什么？,,,,
根据2021年的年报，深圳市海王生物工程股份有限公司收回投资收到的现金是多少元?,2021,000078,收回投资|收到|现金,收回投资
请提供2019年东岳硅材的企业名称。,2019,300821,企业名称,企业名称
长缆科技在2020年的博士及以上学历人数是多少?,2020,002879,博士|学历人数,博士及以上学历人数
新疆机械研究院股份有限公司2021年应收款项融资是多少元?,2021,300159,应|收款项|融资,应收款项融资
2019年美凯龙办公地址是什么?,2019,601828,办公地址,办公地址
2019年北京雪迪龙科技股份有限公司的财务费用率是多少，保留两位小数。,2019,002658,财务费用率,财务费用率
在2021年，润建股份有限公司的货币资金具体是多少元？,2021,002929,货币资金|具体,货币资金
什么是营运资本？,,,,
请问2021年绿岛风的无形资产值是多少元?,2021,301043,请问|无形|资产值,无形资产值
2019年濮阳惠成的外文名称是什么？,2019,300481,外文名称,外文名称
欧普康视2019年毛利率是多少?保留2位小数。,2019,300595,毛利率,毛利率
请简要介绍中国天楹2020年董事、监事、高级管理人员报酬情况。,2020,000035,董事|监事|高级|管理人员报酬情况,监事|董事、监事、高级管理人员报酬情况|董事|高级管理人员报酬情况
珠海光库科技股份有限公司在2019年的营业外支出和营业外收入分别是多少元？,2019,300620,营业外|支出|营业外收入,营业外支出和营业外收入|营业外支出|营业外收入
证通电子2020年营业税金及附加是多少元?,2020,002197,营业税金|附加,营业税金及附加
2021年华昌达智能装备集团股份有限公司营业收入增长率为多少?保留2位小数。,2021,300278,营业收入增长率,营业收入增长率
我想知道2019年探路者的证券代码是什么?,2019,300005,想|知道|证券代码,证券代码
神州数码集团股份有限公司在2019年的注册地址是何处？,2019,000034,注册地址,注册地址
中南红文化集团股份有限公司在2021年的固定资产增长率是多少？请保留2位小数。,2021,002445,固定资产|增长率,固定资产增长率
财务杠杆和经营杠杆有什么区别？,,,,
2020年深圳市同为数码科技股份有限公司的流动负债比率是多少？请保留两位小数。,2020,002835,流动|负债比率,流动负债比率
2019年桂林福达股份有限公司职工总数是什么?,2019,603166,职工总数,职工总数
湖南黄金股份有限公司2019年证券代码是什么?,2019,002155,证券代码,证券代码
2020年依米康科技集团股份有限公司公允价值变动收益是多少元?,2020,300249,公允|价值|变动收益,公允价值变动收益
广东奥飞数据科技股份有限公司2019年证券简称是什么?,2019,300738,证券|简称,证券简称
请提供2019年春光科技的电子信箱。,2019,603657,电子信箱,电子信箱
根据交控科技2019年的年报数据，其营业成本率是多少，结果保留2位小数?,2019,688015,数据|营业成本率,营业成本率
合营安排的分类及共同经营的会计处理方法是什么？,,,,
2021年盛新锂能集团股份有限公司总资产增长率为多少?保留2位小数。,2021,002240,总|资产增长率,总资产增长率
凯迪生态环境科技股份有限公司2021年净利润增长率是多少?保留2位小数。,2021,000939,净利润增长率,净利润增长率
2020年品茗科技的利润总额和净利润各是多少元？,2020,688109,利润总额|净利润,净利润|利润总额|利润总额和净利润
2020年恒立实业的资产负债比率是多少？保留两位小数。,2020,000622,资产|负债比率,资产负债比率
桂林莱茵生物科技股份有限公司2019年技术人员数是什么?,2019,002166,技术人员数,技术人员数
2020年青岛伟隆阀门股份有限公司年报中管理费用增长率为多少?保留2位小数。,2020,002871,管理费用增长率,管理费用增长率
海昌新材2021年每股净资产价值是多少元？,2021,300885,每股|净资产价值,每股净资产价值
资本公积金和盈余公积金对公司的股东权益和财务灵活性有何影响？,,,,
朗姿股份2020年年报中速动比率是多少?保留2位小数。,2020,002612,速动比率,速动比率
2020年河北衡水老白干酒业股份有限公司流动负债比率为多少?保留2位小数。,2020,600559,流动|负债比率,流动负债比率
德威新材在2020年的研发费用增长率是多少？请保留两位小数。,2020,300325,研发|费用增长率,研发费用增长率
三棵树在2019年的研发人员占职工人数的比例是多少？请保留两位小数。,2019,603737,研发|人员|占职工人数|比例,研发人员|研发人员占职工人数的比例|职工人数的比例
宁波方正2020年营业收入是多少元?,2020,300998,营业收入,营业收入
紫光国微在2019年的注册地址是什么？,2019,002049,注册地址,注册地址
2019年吉林奥来德光电材料股份有限公司的企业研发经费与利润比值是多少?请保留2位小数。,2019,688378,企业|研发|经费|利润|比值,企业研发经费|利润|企业研发经费与利润比值
福建福日电子股份有限公司在2019年的技术人员数是多少？,2019,600203,技术人员数,技术人员数
2021年神雾节能股份有限公司的营业收入增长率是多少？保留两位小数。,2021,000820,营业收入增长率,营业收入增长率
华自科技股份有限公司2020年对联营企业和合营企业的投资收益是多少元?,2020,300490,联营企业|合营企业|投资收益,投资收益
请问，2019年吉林奥来德光电材料股份有限公司的硕士人数是多少?,2019,688378,请问|硕士人数,硕士人数
结合2019年山东金岭矿业股份有限公司的年报信息，请简要分析该公司现金流的情况。,2019,000655,结合|信息|现金流|情况,现金流
我想知道中国广核在2019年的管理费用率是多少?结果保留两位小数。,2019,003816,想|知道|管理费用率,管理费用率
哈尔滨博实自动化股份有限公司2020年的利润总额是多少元?,2020,002698,利润总额,利润总额
内蒙古包钢钢联股份有限公司在2021年的投资收益增长率是多少？请保留两位小数。,2021,600010,投资收益增长率,投资收益增长率
请问，惠州硕贝德无线科技股份有限公司在2019年的营业成本率是多少？请保留2位小数。,2019,300322,请问|营业成本率,营业成本率
2021年坚朗五金货币资金增长率是多少?保留2位小数。,2021,002791,货币资金增长率,货币资金增长率
根据2020年雪龙集团的年报，请简要介绍报告期内公司的社会责任工作情况。,2020,603949,社会责任|工作情况,社会责任工作情况
请问在2021年，中利集团的无形资产是多少元?,2021,002309,请问|无形|资产,无形资产
在2020年，有研粉材的营业成本和营业利润分别是多少元？,2020,688456,营业成本|营业利润,营业成本和营业利润|营业成本|营业利润
2019年安科瑞电气股份有限公司投资收益占营业收入比率为多少?保留2位小数。,2019,300286,投资收益|占|营业收入比率,营业收入比率|投资收益占营业收入比率|投资收益
2020年苏州兴业材料科技股份有限公司流动负债比率为多少?保留2位小数。,2020,603928,流动|负债比率,流动负债比率
2021年我爱我家控股集团股份有限公司总资产增长率为多少?保留2位小数。,2021,000560,总|资产增长率,总资产增长率
海亮股份2021年无形资产增长率是多少?保留2位小数。,2021,002203,无形|资产增长率,无形资产增长率
2021年博爱新开源医疗科技集团股份有限公司投资收益增长率为多少?保留2位小数。,2021,300109,投资收益增长率,投资收益增长率
杭州西力智能科技股份有限公司2021年营业利润增长率是多少?保留2位小数。,2021,688616,营业利润增长率,营业利润增长率
首华燃气科技(上海)股份有限公司在2020年的营业收入和营业外收入各是多少元?,2020,300483,营业收入|营业外收入,营业收入、营业外收入|营业收入|营业外收入
华西证券股份有限公司在2021年的利息支出和利息收入分别是多少元？,2021,002926,利息支出|利息收入,利息收入|利息支出|利息支出和利息收入
在2020年，百诚医药的销售费用和管理费用分别是多少元?,2020,301096,销售费用|管理费用,管理费用|销售费用|销售费用和管理费用
请简要分析中科创达软件股份有限公司2019年聘任、解聘会计师事务的情况。,2019,300496,聘任|解聘会计师事务|情况,聘任、解聘会计师事务的情况|聘任|解聘会计师事务的情况
2020年杭州立昂微电子股份有限公司的营业外支出是多少元？,2020,605358,营业外|支出,营业外支出
长阳科技2019年企业硕士及以上人员占职工人数比例是多少?保留2位小数。,2019,688299,企业硕士|人员|占职工人数比例,职工人数比例|企业硕士及以上人员占职工人数比例|企业硕士及以上人员
请问，2020年诺泰生物的所得税费用是多少元?,2020,688076,请问|所得税费用,所得税费用
请问中文在线在2021年的负债合计是多少元？,2021,300364,请问|负债|合计,负债合计
2019年天银机电外文名称是什么?,2019,300342,外文名称,外文名称
2021年智慧农业研发费用增长率是多少?保留2位小数。,2021,000816,研发|费用增长率,研发费用增长率
百洋产业投资集团股份有限公司2021年的无形资产是多少元？,2021,002696,无形|资产,无形资产
水晶光电2021年每股收益和每股净资产分别是多少元?,2021,002273,每股|收益|每股|净资产,每股收益|每股净资产|每股收益和每股净资产
公允价值变动收益对公司财务状况的影响如何衡量？,,,,
如何解释财务报表中的“递延所得税资产”和“递延所得税负债”？,,,,
北京四方继保自动化股份有限公司在2020年的博士及以上人数是多少？,2020,601126,博士|人数,博士及以上人数
福建龙溪轴承(集团)股份有限公司2021年的投资收益增长率是多少？请保留2位小数。,2021,600592,投资收益增长率,投资收益增长率
请问，根据中兴通讯2019年的年报，在董事长报告书的内容中，是否提及重大创新？,2019,000063,请问|董事长报告书|内容|是否|提及|重大|创新,提及重大创新
请简要分析青海华鼎实业股份有限公司2020年行业情况。,2020,600243,行业情况,行业情况
海航投资2021年营业收入增长率是多少?保留2位小数。,2021,000616,营业收入增长率,营业收入增长率
请问，2020年滨江集团的净利润率是多少，保留2位小数？,2020,002244,请问|净利润率,净利润率
乐鑫信息科技(上海)股份有限公司2019年营业外支出和营业外收入分别是多少元?,2019,688018,营业外|支出|营业外收入,营业外支出和营业外收入|营业外支出|营业外收入
2021年中国船舶重工股份有限公司衍生金融资产是多少元?,2021,601989,衍生金融资产,衍生金融资产
请分析重庆港股份有限公司2021年重大关联交易的情况。,2021,600279,重大|关联|交易|情况,重大关联交易的情况
2019年烟台龙源电力技术股份有限公司的企业研发经费占费用的比例是多少？请保留两位小数。,2019,300105,企业|研发|经费|占费用|比例,企业研发经费|企业研发经费占费用的比例|费用的比例
杭州园林设计院股份有限公司在2020年的销售费用增长率是多少?保留两位小数。,2020,300649,销售费用增长率,销售费用增长率
2019年，亚厦股份财务费用是多少元?,2019,002375,财务费用,财务费用
正源股份2019年公司网址是什么?,2019,600321,网址,公司网址
浙江众成2020年投资收益是多少元?,2020,002522,投资收益,投资收益
公允价值变动收益如何反映公司资产价值的变化和风险暴露？,,,,
大连重工在2020年的净利润率有多高? 保留2位小数。,2020,002204,净利润率|高,净利润率
2019年广州维力医疗器械股份有限公司的技术人员数是多少？,2019,603309,技术人员数,技术人员数
根据2021年的年报数据，昌红科技的营业成本是多少元?,2021,300151,数据|营业成本,营业成本
浙江建投在2021年的现金及现金等价物增长率是多少？请保留2位小数。,2021,002761,现金|现金等价物增长率,现金及现金等价物增长率
请简要分析武汉兴图新科电子股份有限公司2021年审计意见的情况。,2021,688081,审计意见|情况,审计意见
2019年的年报数据显示，万科企业股份有限公司的投资收益占营业收入比率为多少?保留2位小数。,2019,200002,数据|显示|投资收益|占|营业收入比率,营业收入比率|投资收益占营业收入比率|投资收益
请简要分析安徽省通源环境节能股份有限公司2020年行业情况。,2020,688679,行业情况,行业情况
2021年山西兰花科技创业股份有限公司货币资金是多少元?,2021,600123,货币资金,货币资金
臻镭科技2021年的每股经营现金流量是多少元？,2021,688270,每股|经营现金流量,每股经营现金流量
请问凯利泰在2021年的其他非流动金融资产是多少元？,2021,300326,请问|流动金融资产,其他非流动金融资产
2020年江苏立华牧业股份有限公司博士及以上人数是什么?,2020,300761,博士|人数,博士及以上人数
根据2021年丽臣实业的年报，请简要介绍报告期内公司每股净资产的情况。,2021,001218,每股|净资产|情况,每股净资产
杭州高新在2020年的净利润率约为多少？请保留至小数点后两位。,2020,300478,净利润率|约,净利润率
清研环境2021年每股经营现金流量是多少元?,2021,301288,,每股经营现金流量
2019年交投生态的技术人员数是多少?,2019,002200,技术人员数,技术人员数
请问，咸亨国际科技股份有限公司在2021年的营业成本是多少元?,2021,605056,请问|营业成本,营业成本
营业外收支净额对公司的综合收益和盈利能力有何影响？,,,,
请对比2020年和2021年，永清环保股份有限公司的法定代表人是否相同?,2020|2021,300187,法定|代表人|是否|相同,法定代表人
2021年重庆长江造型材料(集团)股份有限公司年报数据中，负债合计是多少元?,2021,001296,数据|负债|合计,负债合计
2019年中铁高新工业股份有限公司注册地址是什么?,2019,600528,注册地址,注册地址
新天绿色能源股份有限公司2020年的营业收入和营业外收入分别是多少元?,2020,600956,营业收入|营业外收入,营业收入和营业外收入|营业收入|营业外收入
北京中长石基信息技术股份有限公司2021年收回投资收到的现金是多少元?,2021,002153,收回投资|收到|现金,收回投资
爱威科技股份有限公司2019年的研发费用和财务费用分别是多少元？,2019,688067,研发|费用|财务费用,财务费用|研发费用和财务费用|研发费用
中国石化上海石油化工股份有限公司在2019年的管理费用率是多少?请保留两位小数。,2019,600688,管理费用率,管理费用率
2020年盛和资源控股股份有限公司净利润率为多少?保留2位小数。,2020,600392,净利润率,净利润率
请问，根据2019年的财报，金博股份的营业成本率是多少?请保留两位小数。,2019,688598,请问|财报|营业成本率,营业成本率
上海沿浦在2020年的营业外收入金额是多少元?,2020,605128,营业外|收入金额,营业外收入金额
2019年广州集泰化工股份有限公司三费比重为多少?保留2位小数。,2019,002909,三费比重,三费比重
2020年海南葫芦娃药业集团股份有限公司的研发费用是多少元？,2020,605199,研发|费用,研发费用
光环新网2019年硕士人数是什么?,2019,300383,硕士人数,硕士人数
深圳天源迪科信息技术股份有限公司2020年净利润是多少元?,2020,300047,净利润,净利润
飞天诚信在2020年的速动比率是多少？（保留2位小数）,2020,300386,速动比率,速动比率
柏楚电子2020年的博士及以上人数是多少？,2020,688188,博士|人数,博士及以上人数
陕西莱特光电材料股份有限公司在2021年的销售费用和管理费用分别为多少元？,2021,688150,销售费用|管理费用,管理费用|销售费用|销售费用和管理费用
宝馨科技2021年货币资金增长率是多少?保留2位小数。,2021,002514,货币资金增长率,货币资金增长率
珠海市乐通化工股份有限公司在2020年的销售费用增长率是多少?请保留两位小数。,2020,002319,销售费用增长率,销售费用增长率
请问，2021年张小泉股份有限公司的每股净资产是多少元?,2021,301055,请问|每股|净资产,每股净资产
长城动漫2021年资产总计是多少元?,2021,000835,资产|总计,资产总计
2020年汉马科技的流动比率是多少?请保留到小数点后两位。,2020,600375,流动比率,流动比率
国联股份在2019年的研发费用和财务费用分别是多少元？,2019,603613,研发|费用|财务费用,财务费用|研发费用和财务费用|研发费用
2019年圣湘生物科技股份有限公司的营业外支出和营业外收入分别是多少元?,2019,688289,营业外|支出|营业外收入,营业外支出和营业外收入|营业外支出|营业外收入
漫步者2021年货币资金增长率是多少?保留2位小数。,2021,002351,货币资金增长率,货币资金增长率
2020年江苏卓易信息科技股份有限公司利润总额是多少元?,2020,688258,利润总额,利润总额
请提供2020年科创信息的研发费用金额。,2020,300730,研发|费用金额,研发费用金额
上海申通地铁股份有限公司2020年营业利润率是多少?保留2位小数。,2020,600834,营业利润率,营业利润率
三丰智能2021年投资收益增长率是多少?保留2位小数。,2021,300276,投资收益增长率,投资收益增长率
兆易创新科技集团股份有限公司2019年职工总数是什么?,2019,603986,职工总数,职工总数
捷捷微电2019年电子信箱是什么?,2019,300623,电子信箱,电子信箱
2019年，江西金达莱环保股份有限公司研发人员数是什么?,2019,688057,研发人员数,研发人员数
根据2019年的年报数据，金科环境股份有限公司的2019年企业研发经费占费用比例是多少?保留2位小数。,2019|2019,688466,数据|企业|研发|经费|占费用比例,企业研发经费|企业研发经费占费用比例
深圳光峰科技股份有限公司在2021年的应收款项融资金额是多少元？,2021,688007,应|收款项|融资金额,应收款项融资金额
捷佳伟创在2020年的非流动负债比率是多少？请保留至小数点后两位。,2020,300724,流动|负债比率,非流动负债比率
2019年，华特达因的营业成本率是多少，结果请保留至小数点后两位？,2019,000915,营业成本率,营业成本率
白云机场在2020年的管理费用增长率是多少？请保留2位小数。,2020,600004,管理费用增长率,管理费用增长率
2021年河北衡水老白干酒业股份有限公司收回投资收到的现金是多少元?,2021,600559,收回投资|收到|现金,收回投资
中国银河证券股份有限公司2019年的利息收入是多少元?,2019,601881,利息收入,利息收入
根据宁波长鸿高分子科技股份有限公司2020年的年报，营业外收入是多少元?,2020,605008,营业|外|收入,营业外收入
2020年焦作万方铝业股份有限公司公允价值变动收益是多少元?,2020,000612,公允|价值|变动收益,公允价值变动收益
正和生态2021年的货币资金是多少元？,2021,605069,货币资金,货币资金
请简要介绍卧龙电气驱动集团股份有限公司2020年公司控股股东及实际控制人的情况。,2020,600580,控股股东|实际|控制人|情况,公司控股股东及实际控制人
结合2021年协创数据技术股份有限公司的年报信息，请简要分析该公司主要销售客户的情况。,2021,300857,结合|信息|主要|销售客户|情况,主要销售客户的情况
2020年杭州汽轮动力集团股份有限公司流动负债比率为多少?保留2位小数。,2020,200771,流动|负债比率,流动负债比率
2021年中国长城科技集团股份有限公司的投资收益增长率是多少？记得要保留两位小数。,2021,000066,投资收益增长率|记,投资收益增长率
何氏眼科2020年的营业税金及附加是多少元?,2020,301103,营业税金|附加,营业税金及附加
2021年长江医药控股股份有限公司应收款项融资是多少元?,2021,300391,应|收款项|融资,应收款项融资
2021年上海艾录包装股份有限公司的固定资产是多少元?,2021,301062,固定资产,固定资产
2020年复旦复华流动负债比率是多少?保留2位小数。,2020,600624,流动|负债比率,流动负债比率
2021年曲美家居集团股份有限公司的衍生金融资产是多少元？,2021,603818,衍生金融资产,衍生金融资产
2019年特变电工利息收入是多少元?,2019,600089,利息收入,利息收入
根据2020年西部矿业的年报，请简要介绍报告期内公司主要销售客户的客户集中度如何？请结合同行业情况简要分析。,2020,601168,主要|销售客户|客户集中度|结合|同行业|情况,公司主要销售客户的集中度
